"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80",".first() - get first DOM element","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","186","cy.writeFile() - write to a file","Files","2026-02-11","passed","2026-02-11","","","",""
"","223",".children() - get child DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","77","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","233","cy.request() - save response in the shared test context","Network Requests","2026-02-11","passed","2026-02-11","","","",""
"","751",".uncheck() - uncheck a checkbox element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","80","expect - make an assertion about a specified subject","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","83",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","84","cy.document() - get the document object","Window","2026-02-11","passed","2026-02-11","","","",""
"","753",".check() - check a checkbox or radio element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","119","cy.contains() - query DOM elements with matching content","Querying","2026-02-11","passed","2026-02-11","","","",""
"","94","matches unknown text between two elements","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","1078","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-02-11","passed","2026-02-11","","","",""
"","82",".next() - get next sibling DOM element","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","69","cy.title() - get the title","Window","2026-02-11","passed","2026-02-11","","","",""
"","204","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","247","can delete all completed tasks","example to-do app","2026-02-11","passed","2026-02-11","","with a checked task","",""
"","163","cy.request() with query parameters","Network Requests","2026-02-11","passed","2026-02-11","","","",""
"","80",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.dom","",""
"","173","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-02-11","passed","2026-02-11","","","",""
"","556",".as() - alias a route for later use","Aliasing","2026-02-11","passed","2026-02-11","","","",""
"","2758","cy.viewport() - set the viewport size and dimension","Viewport","2026-02-11","passed","2026-02-11","","","",""
"","78",".not() - remove DOM elements from set of DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","230",".should() - make an assertion about the current subject","Assertions","2026-02-11","passed","2026-02-11","","Implicit Assertions","",""
